edge_id,source,target,is_cross_domain,source_recoverable,source_validation_auc,source_validation_auc_ci_lower,target_units,target_auc,target_auc_ci_lower,target_auc_ci_upper,source_minus_target_auc,target_average_precision,target_brier,target_ece10,calibration_ece_degradation,calibration_brier_degradation,target_balanced_accuracy_at_0_5,target_sensitivity_at_0_5,target_specificity_at_0_5,mean_confidence,mean_entropy_nats,atc_estimated_accuracy,atc_threshold_from_source_validation,target_to_source_logit_iqr_ratio,support_fraction,fraction_beyond_source_q99,source_knn_q95,source_knn_q99,target_mean_knn_distance,domain_auc,rbf_mmd2,ot_cosine_cost,mixture_wasserstein_residual_normalised,unlabeled_mixture_prevalence,discrimination_pass,calibration_pass,operating_point_pass,observed_transportability_state
EyePACS_2015__TO__EyePACS_2015,EyePACS_2015,EyePACS_2015,False,False,0.596467572914,0.563071082952,1118,0.596467572914,0.563071082952,0.631686499185,0,0.504347981492,0.377602662289,0.359120811158,0,0,0.577642553533,0.52027027027,0.635014836795,0.950449365471,0.117574493794,0.589445438283,0.997425523141,1,0.942754919499,0.0125223613596,0.156083089113,0.20552418232,0.0972858667374,0.472229003906,0.00911902468333,0.140210130155,0.178582455851,0.41,False,True,False,DISCRIMINATION_FAILURE_WITH_OR_WITHOUT_ADDITIONAL_FAILURES
EyePACS_2015__TO__DeepDRiD,EyePACS_2015,DeepDRiD,True,False,0.596467572914,0.563071082952,200,0.833434343434,0.774593434343,0.886416666667,-0.23696677052,0.850017252252,0.177947832344,0.13017769366,-0.228943117498,-0.199654829946,0.732323232323,0.755555555556,0.709090909091,0.799043236327,0.324989141419,0.345,0.997425523141,0.410732442084,0.945,0,0.156083089113,0.20552418232,0.10632686317,0.991088867188,0.149212138305,0.20462267371,0.113778652907,0.67,True,True,True,DISCRIMINATION_CALIBRATION_AND_OPERATING_POINT_RETAINED
EyePACS_2015__TO__APTOS_2019,EyePACS_2015,APTOS_2019,True,False,0.596467572914,0.563071082952,1052,0.838512664594,0.813885361984,0.865070924005,-0.24204509168,0.766701945518,0.266108385429,0.266227043672,-0.0928937674863,-0.111494276861,0.739549290001,0.861313868613,0.617784711388,0.971786959232,0.0669732847201,0.766159695817,0.997425523141,1.90015157571,0.815589353612,0.0228136882129,0.156083089113,0.20552418232,0.128764212132,0.98046875,0.135649638104,0.21970132839,0.501695817127,0.56,True,True,True,DISCRIMINATION_CALIBRATION_AND_OPERATING_POINT_RETAINED
EyePACS_2015__TO__IDRiD,EyePACS_2015,IDRiD,True,False,0.596467572914,0.563071082952,102,0.705331705332,0.591931216931,0.805301180301,-0.108864132418,0.785340316625,0.329004361126,0.302243487998,-0.0568773231598,-0.0485983011632,0.59706959707,0.809523809524,0.384615384615,0.973290374761,0.0707833093735,0.754901960784,0.997425523141,1.6087198213,0.78431372549,0.0588235294118,0.156083089113,0.20552418232,0.13705919683,0.991830065359,0.250571328679,0.254452735458,0.50548480482,0.76,True,True,False,DISCRIMINATION_AND_CALIBRATION_RETAINED_BUT_OPERATING_POINT_FAILED
DeepDRiD__TO__EyePACS_2015,DeepDRiD,EyePACS_2015,True,True,0.924646464646,0.887166666667,1118,0.634401649424,0.605592452616,0.665537700163,0.290244815223,0.553502988792,0.331232897479,0.315605521012,0.275880637205,0.216766538167,0.591192824872,0.490990990991,0.691394658754,0.921112959951,0.179109995912,0.923076923077,0.647518130273,1.23695767201,0.278175313059,0.408765652952,0.121143544465,0.171919017583,0.167588323355,0.99267578125,0.120545210962,0.196258076553,0.303182668223,0.37,False,False,False,DISCRIMINATION_FAILURE_WITH_OR_WITHOUT_ADDITIONAL_FAILURES
DeepDRiD__TO__DeepDRiD,DeepDRiD,DeepDRiD,False,True,0.924646464646,0.887166666667,200,0.924646464646,0.886300505051,0.956618686869,0,0.920407654543,0.114466359312,0.0397248838074,0,0,0.830808080808,0.788888888889,0.872727272727,0.87774319402,0.246852596174,0.835,0.647518130273,1,0.96,0,0.121143544465,0.171919017583,0.0758544057608,0.606384277344,0.0113335621283,0.0976449705303,0.267162733986,0.37,True,True,True,DISCRIMINATION_CALIBRATION_AND_OPERATING_POINT_RETAINED
DeepDRiD__TO__APTOS_2019,DeepDRiD,APTOS_2019,True,True,0.924646464646,0.887166666667,1052,0.675677830033,0.640575951505,0.710286447954,0.248968634614,0.630796840981,0.326772868128,0.30489867006,0.265173786253,0.212306508816,0.621637420241,0.630170316302,0.613104524181,0.929694701531,0.161947238121,0.932509505703,0.647518130273,1.43850007348,0.115969581749,0.552281368821,0.121143544465,0.171919017583,0.180743634701,0.996154785156,0.216047041357,0.234464743053,0.321288056337,0.47,False,False,False,DISCRIMINATION_FAILURE_WITH_OR_WITHOUT_ADDITIONAL_FAILURES
DeepDRiD__TO__IDRiD,DeepDRiD,IDRiD,True,True,0.924646464646,0.887166666667,102,0.782661782662,0.690618640619,0.860612535613,0.141984681985,0.865760010452,0.261180053695,0.251944040351,0.212219156544,0.146713694383,0.636752136752,0.888888888889,0.384615384615,0.939599676089,0.141326194072,0.960784313725,0.647518130273,1.47448849295,0,0.549019607843,0.121143544465,0.171919017583,0.184526517987,1,0.348271160204,0.251342878509,0.410316023869,0.83,True,False,False,DISCRIMINATION_RETAINED_BUT_CALIBRATION_FAILED
APTOS_2019__TO__EyePACS_2015,APTOS_2019,EyePACS_2015,True,True,0.969721124611,0.959401748333,1118,0.655973480899,0.62340830259,0.688165483733,0.313747643712,0.567291638523,0.325210613425,0.3096298253,0.255759152154,0.24862319475,0.582491244954,0.274774774775,0.890207715134,0.961529690466,0.0906885677983,0.864937388193,0.921062400951,0.502480317739,0.303220035778,0.354203935599,0.130788276345,0.160984072089,0.154230967164,0.9453125,0.15286130371,0.223453748137,0.0831066471075,0.12,False,False,False,DISCRIMINATION_FAILURE_WITH_OR_WITHOUT_ADDITIONAL_FAILURES
APTOS_2019__TO__DeepDRiD,APTOS_2019,DeepDRiD,True,True,0.969721124611,0.959401748333,200,0.88404040404,0.83529040404,0.92596969697,0.085680720571,0.885553195086,0.240113964259,0.270457302286,0.21658662914,0.163526545584,0.678787878788,0.366666666667,0.990909090909,0.924853230311,0.150678315925,0.785,0.921062400951,0.601057421523,0.435,0.33,0.130788276345,0.160984072089,0.145238921046,1,0.2587628996,0.246613510129,0.142319032837,0.08,True,False,False,DISCRIMINATION_RETAINED_BUT_CALIBRATION_FAILED
