drive_file_id,drive_path,size_bytes,proposed_action,reason,local_backup_path,local_backup_sha256,second_backup_verified,delete_authorized,next_gate
1PyQyoH9ruBTYUq5ewK51f0OANa9EOn4Y,00_Storage_Migration/01_Local_First_Workspace_v1.1/CMDO_Local_First_Workspace_v1.1.zip,21716,REVIEW,not enough evidence in the targeted inventory for safe disposition,,,false,false,MANUAL_REVIEW_REQUIRED
1OpMswRwdMcMcbgCG0Eeo_aYqU6XeRt_5,00_Storage_Migration/01_Local_First_Workspace_v1.1/PACKAGE_MANIFEST.json,4625,REVIEW,not enough evidence in the targeted inventory for safe disposition,,,false,false,MANUAL_REVIEW_REQUIRED
1O3A6cn35YUdKCc3FJsCRJyZjR70mJ4MW,00_Storage_Migration/01_Local_First_Workspace_v1.1/README_LOCAL_FIRST_WORKFLOW_2026-07-30.txt,768,REVIEW,not enough evidence in the targeted inventory for safe disposition,,,false,false,MANUAL_REVIEW_REQUIRED
1nELLXZr6uAA-kd0Sy3_fso9r4UPM7JCa,00_Storage_Migration/04_Drive_Cleanup_Audit_2026-07-31/DRIVE_CLEANUP_AUDIT_2026-07-31_LOCAL_PASS.csv,1639,REVIEW,not enough evidence in the targeted inventory for safe disposition,,,false,false,MANUAL_REVIEW_REQUIRED
17ftPT2qTk8W0VaMHazjzU52gPG42kdNo2mPS4WLqFUQ,00_Storage_Migration/CMDO_Copy_To_F_PowerShell_v1.0_LEGACY,3694,ARCHIVE_CANDIDATE,explicitly labelled legacy/superseded/pre-style artifact,,,false,false,ARCHIVE_AND_CONFIRM
1BWOh02l9rxpP5k-NcnhjQds7A7tPhWVc,00_Storage_Migration/README_FIRST_CMDO_LOCAL_FIRST_v1.1.txt,768,REVIEW,not enough evidence in the targeted inventory for safe disposition,,,false,false,MANUAL_REVIEW_REQUIRED
194cNTf465kNJB0nwHGwjny5b2sPaJAO_hzsfgfd-w7Q,00_Storage_Migration/README_FIRST_CMDO_MIGRATION_v1.0_LEGACY,2435,ARCHIVE_CANDIDATE,explicitly labelled legacy/superseded/pre-style artifact,,,false,false,ARCHIVE_AND_CONFIRM
1fSMhAfs5dc1fr5LF9kPyO4e4Q34dAMuS,05_Code/StageU4A_Evidence_Component_Expiry_Safe_Audit_v1.0/CMDO_Evidence_Component_Universality_and_Safe_Sequential_Auditing_Theory_v2.0.txt,8589,KEEP,hash-backed local import or canonical record,legacy/governance_authoritative/StageU4A_Evidence_Component_Expiry_Safe_Audit_v1.0/CMDO_Evidence_Component_Universality_and_Safe_Sequential_Auditing_Theory_v2.0.txt,eb7bc39688a212667cab0b0ee0f52d0ebab7525c6b2fbfa93adc156d7eec37c7,false,false,NO_DELETION
1v3ZEliK8KJoYmrN2GKKAYzk_E2mielg4,05_Code/StageU4A_Evidence_Component_Expiry_Safe_Audit_v1.0/CMDO_Manuscript_Rebuild_Strategy_v0.5.txt,3918,KEEP,hash-backed local import or canonical record,legacy/governance_authoritative/StageU4A_Evidence_Component_Expiry_Safe_Audit_v1.0/CMDO_Manuscript_Rebuild_Strategy_v0.5.txt,1e701522fc2770e2f7039d5460dda4464d62a8e3ab13d94df1d888757fea4aab,false,false,NO_DELETION
1wtg6RWVqC9PJRiOPQgaUA92OKdoZBUiB,05_Code/StageU4A_Evidence_Component_Expiry_Safe_Audit_v1.0/CMDO_StageU4A_Preparation_Release_Manifest_v1.0.json,1415,KEEP,hash-backed local import or canonical record,legacy/governance_authoritative/StageU4A_Evidence_Component_Expiry_Safe_Audit_v1.0/CMDO_StageU4A_Preparation_Release_Manifest_v1.0.json,d6f0fe6831a0c10535b4b77ad8dd2d6ad474a348179c9bfc1cedc9cd594dfd15,false,false,NO_DELETION
