cache_file,target,family,n,prevalence,threshold,auc,auprc,balanced_accuracy,brier,log_loss,cache_sha256
BRIGHTNESS_S1.npz,BRIGHTNESS_S1,brightness,10000,0.6,0.6737552285194373,0.9945449583333333,0.9962798522956523,0.9629583333333334,0.026657929801188026,0.09483245653418733,8b49e98a7e116eb4d7023d08589b60598d71481f27045e145e02d4cb2f4c92c0
BRIGHTNESS_S3.npz,BRIGHTNESS_S3,brightness,10000,0.6,0.6737552285194373,0.9936515,0.9957048493238274,0.9545833333333333,0.03185626015666513,0.11224950209649441,c70fc2e5f6aa7cce0cdb184a813b6aeca6bd1ba8f69e1af717c2ef609fd51c37
BRIGHTNESS_S5.npz,BRIGHTNESS_S5,brightness,10000,0.6,0.6737552285194373,0.9899527083333334,0.9932997661783365,0.9312916666666666,0.04691005502989366,0.1639903032445045,becb7562381dc5a8ed8d82a06eefaedbc0b2e47fc936a654016d8d4172a87132
CIFAR10_1_V6.npz,CIFAR10_1_V6,resampled_test,2000,0.6,0.6737552285194373,0.9864906250000001,0.9909006246046144,0.9383333333333334,0.044692825724077935,0.1571091648364926,c6f7a5b2367672a22b7e670d7059293bfb3796839619631624b9c67d75c24600
CIFAR10_CLEAN.npz,CIFAR10_CLEAN,clean,10000,0.6,0.6737552285194373,0.9945534166666667,0.9962529824869191,0.9645,0.02603850119148721,0.09287153252416135,263c158d8ce12275fa533fb0aff46273b6f5454618c060e721241d10daa10b20
CONTRAST_S1.npz,CONTRAST_S1,contrast,10000,0.6,0.6737552285194373,0.9936119791666667,0.9955455834545351,0.9615833333333332,0.02885648224704068,0.10249501774172463,4a536df8a394b58633d59aa5da425041267d8fbf742d014813a054138c2134ae
CONTRAST_S3.npz,CONTRAST_S3,contrast,10000,0.6,0.6737552285194373,0.9685765000000001,0.978144226256634,0.8824583333333333,0.08794724173293982,0.3169635116555352,b012971d475d7dca70a6fb230c02e489e775327c64ce5e609cf13a0b0e359882
CONTRAST_S5.npz,CONTRAST_S5,contrast,10000,0.6,0.6737552285194373,0.8138214166666666,0.8583065260709014,0.7188333333333333,0.20819196851554456,0.7823990876347329,4b7a9a067ad51755811f28cc3c101e202808feaa60ec71e88cfbaf4760059321
FOG_S1.npz,FOG_S1,fog,10000,0.6,0.6737552285194373,0.9942607916666668,0.996064822552295,0.9623333333333333,0.02708608625026647,0.09548823257981728,d45eaf405fe63372ac95caf3af0fec06abcf4d1603065d3a2b49fa6a9d760aa8
FOG_S3.npz,FOG_S3,fog,10000,0.6,0.6737552285194373,0.9900136458333333,0.9930369471268106,0.9435416666666667,0.044353994558415766,0.1547461722074892,5bace1703764c2bdc101469f4faf56c1525330d33e36ec7066a2631487796f61
FOG_S5.npz,FOG_S5,fog,10000,0.6,0.6737552285194373,0.9724822500000001,0.9811830741762505,0.8317083333333333,0.12943645692453257,0.46054168838125753,3680ddbb06f249f46d68575eff4c94eff36f4b13700dfb591ba7d81c58c0e06b
FROST_S1.npz,FROST_S1,frost,10000,0.6,0.6737552285194373,0.9913681250000002,0.9942013471859903,0.9512083333333333,0.034898807565327865,0.12308709168686505,3bcce22ae09f1cd5ee1fefd49331ba2cc788ad49fe7ba00f7c73ba24b73f48bb
FROST_S3.npz,FROST_S3,frost,10000,0.6,0.6737552285194373,0.9697135416666668,0.9769238611270865,0.9092083333333334,0.06505324480643873,0.23938808296081338,3d679edb1c3ed57d179f2db235e5b5191bd84f10f0bc2568644f81cd4d9f0f82
FROST_S5.npz,FROST_S5,frost,10000,0.6,0.6737552285194373,0.9410652291666666,0.9553337794518717,0.8580416666666666,0.10639927467862126,0.4361097028196821,292b79ae520a672a916f38d2f372a44b3214f74c0e9046993f43433faa4ad2e3
GAUSSIAN_BLUR_S1.npz,GAUSSIAN_BLUR_S1,gaussian_blur,10000,0.6,0.6737552285194373,0.9943544375,0.9961158872479667,0.965,0.026157375385289464,0.09428805880107523,08eabd5cbfcb684a0e90b0db1657bfd7fa6cd000b75fad6375f699787566baee
GAUSSIAN_BLUR_S3.npz,GAUSSIAN_BLUR_S3,gaussian_blur,10000,0.6,0.6737552285194373,0.9790770416666669,0.9851669012438596,0.8641666666666666,0.10588028207458555,0.4392765932033519,c4d8470cb5f2ba3c69637d93aa36d19e147c484839370f87b61459dc2d9533b6
GAUSSIAN_BLUR_S5.npz,GAUSSIAN_BLUR_S5,gaussian_blur,10000,0.6,0.6737552285194373,0.9338560208333333,0.949347804638549,0.7498333333333334,0.19097017847798364,0.8747699379027023,10c44ef0573a6c83db763bd33337b190b40f4ecc4862ce1acd4934a967f3d6d5
GAUSSIAN_NOISE_S1.npz,GAUSSIAN_NOISE_S1,gaussian_noise,10000,0.6,0.6737552285194373,0.9888332708333334,0.9924870751322664,0.9445416666666666,0.04380472466538257,0.15979859049316775,f6705cdf05d69f5715faff1b1498ca694c46ca5ad7fbe01374f7c6975d457422
GAUSSIAN_NOISE_S3.npz,GAUSSIAN_NOISE_S3,gaussian_noise,10000,0.6,0.6737552285194373,0.9612573958333333,0.9728717965861567,0.8499583333333334,0.11599502578910183,0.4586103395918654,29fe4f03f6ae2ea36aba7c5a061b43317ad7b07ba6f49ef608e733b3218c781b
GAUSSIAN_NOISE_S5.npz,GAUSSIAN_NOISE_S5,gaussian_noise,10000,0.6,0.6737552285194373,0.9394166458333333,0.9579310553413486,0.779375,0.1683714552474384,0.7113409588957075,0290a0521fec0bf8fbe656a634a609e4d93199d15a1b894b6219709a2ee738c3
IMPULSE_NOISE_S1.npz,IMPULSE_NOISE_S1,impulse_noise,10000,0.6,0.6737552285194373,0.9902411250000002,0.9934949498409784,0.9450000000000001,0.03860589659695757,0.13617726674450667,e02ecf5655f3d659e6b6c0fdf9f270557e880d814cca12d14a998abc071d626f
IMPULSE_NOISE_S3.npz,IMPULSE_NOISE_S3,impulse_noise,10000,0.6,0.6737552285194373,0.9722601666666667,0.981632517314246,0.90725,0.06904584748826877,0.24219100089729023,322e80e9b7c840be05be54e542c0641ced667d15204935a06badad967f709d8f
IMPULSE_NOISE_S5.npz,IMPULSE_NOISE_S5,impulse_noise,10000,0.6,0.6737552285194373,0.9186742500000001,0.9442563840235239,0.6163333333333334,0.2891752134807598,1.3996430328617457,557969105a329fd20aa41a86cf39ba62fa640a61f8667fcdc9dba9e4cb7f616e
JPEG_COMPRESSION_S1.npz,JPEG_COMPRESSION_S1,jpeg_compression,10000,0.6,0.6737552285194373,0.9908056458333332,0.9935036095848535,0.9546666666666667,0.03393391355828833,0.12797501545862652,86c79056bd19e19b4c59e43fd872da8ba0e685abfa3d0eace74025f656e747fa
JPEG_COMPRESSION_S3.npz,JPEG_COMPRESSION_S3,jpeg_compression,10000,0.6,0.6737552285194373,0.9872383958333334,0.9910123692271295,0.9434583333333333,0.041967478928545285,0.16094900338364793,14f43827f1dd155ff042e6bce42c3010ae0c1309692ad0051d0318eb7e55e9c5
JPEG_COMPRESSION_S5.npz,JPEG_COMPRESSION_S5,jpeg_compression,10000,0.6,0.6737552285194373,0.9844656666666667,0.9892306077409813,0.935,0.04991816638689872,0.19178777710351433,e87c5ef5cf14efc854083b34b1f5e543c136adf385af32c6b3f3f7f0ef2d6f36
MOTION_BLUR_S1.npz,MOTION_BLUR_S1,motion_blur,10000,0.6,0.6737552285194373,0.9892217083333334,0.9926071818333448,0.93425,0.05090373036724545,0.18980616570900047,33b597a6f410a139ae47955b66584d02c043cabeb63f03e391d5f7fc955b5592
MOTION_BLUR_S3.npz,MOTION_BLUR_S3,motion_blur,10000,0.6,0.6737552285194373,0.9747031875,0.9820469331100429,0.8967916666666667,0.07950293749057756,0.3127500617639711,f7d8d6f285581ace7e230f05bdd28f226c144296d21bd4b04e13e27005bedae6
MOTION_BLUR_S5.npz,MOTION_BLUR_S5,motion_blur,10000,0.6,0.6737552285194373,0.9679865625,0.9772377914642866,0.8872083333333334,0.08535975776831477,0.32602518256381147,596d0c4a6a0a0d297af880239c33b916cb4c5e5ed963e1d988985f1ba706fc8b
PIXELATE_S1.npz,PIXELATE_S1,pixelate,10000,0.6,0.6737552285194373,0.9923233750000001,0.9946994927323578,0.939875,0.04227556739515025,0.14916995695817536,2b2e4ba232ca77e781c746772a3577ee1e0d4ab73b1f5cc12059adc29e461540
PIXELATE_S3.npz,PIXELATE_S3,pixelate,10000,0.6,0.6737552285194373,0.9850721666666667,0.989862465144417,0.8640833333333333,0.10490244723188095,0.40129450167564346,bdc8643e38716963f0522e3f4b264de237ed663d9ce6740d24505ca1146f1bf0
PIXELATE_S5.npz,PIXELATE_S5,pixelate,10000,0.6,0.6737552285194373,0.9526035833333333,0.9681273998700821,0.6744166666666667,0.29457232584295634,1.3710371497105371,5c484d090d632d61c631c2d12b46ac794556de3bde80cb1921c40349704bb6e4
SHOT_NOISE_S1.npz,SHOT_NOISE_S1,shot_noise,10000,0.6,0.6737552285194373,0.9907165,0.9937226775374339,0.9504583333333333,0.037727366982686555,0.13674767856872974,9ad7be286a8ca7cc24790a2e39b157f107e88a52873155615f9713b7140b7303
SHOT_NOISE_S3.npz,SHOT_NOISE_S3,shot_noise,10000,0.6,0.6737552285194373,0.9702726041666666,0.9789887835116287,0.8816666666666666,0.090616053362106,0.3472223986694581,4adaa9eaf6e7fb50d775a5120e058b6d7c46fd572f8e9218556ba238dbab200c
SHOT_NOISE_S5.npz,SHOT_NOISE_S5,shot_noise,10000,0.6,0.6737552285194373,0.9384844999999999,0.9548388777203676,0.796625,0.15509158983036622,0.6405420428941418,a8e611b1ee37ca59f1cc7c3107a40afa694070ca2c271314e485da61d1fc1426
ZOOM_BLUR_S1.npz,ZOOM_BLUR_S1,zoom_blur,10000,0.6,0.6737552285194373,0.9864184374999999,0.9905074974166439,0.9050833333333332,0.07424539719975012,0.2893971997167494,385a52b488887849b95b3ea9814dd0de56b5951ed7ab9650d2d7334e3affe80b
ZOOM_BLUR_S3.npz,ZOOM_BLUR_S3,zoom_blur,10000,0.6,0.6737552285194373,0.9773202291666666,0.9839855543166585,0.8594583333333333,0.10902297949984013,0.45400880940908056,319189d7466374771b1176c188d318365650da5683fa5a6c5b47f77a48ab6922
ZOOM_BLUR_S5.npz,ZOOM_BLUR_S5,zoom_blur,10000,0.6,0.6737552285194373,0.9602920416666667,0.97097667814168,0.8121666666666667,0.14690808199308464,0.6538674478713887,d197332a6c2f8c9a7a6a62aa00b3b6efc74d924b3ffb6a46b964733061d45999
