method,budget,correct_resolution_rate,false_assurance_rate,false_rejection_rate,unresolved_rate,stable_decision_cost
DIRECT,64,0.805,0.148333333333333,0.0908823529411765,0.0955,138.048
DIRECT,128,0.84325,0.111666666666667,0.0708823529411765,0.07975,138.048
DIRECT,256,0.86975,0.0916666666666667,0.0444117647058824,0.07875,138.048
STATIC,64,0.805,0.148333333333333,0.0908823529411765,0.0955,139.216
STATIC,128,0.84325,0.111666666666667,0.0708823529411765,0.07975,139.216
STATIC,256,0.86625,0.0916666666666667,0.0344117647058824,0.09075,139.216
ATC,64,0.8,0.666666666666667,0.0588235294117647,0.05,102.4
ATC,128,0.8,0.666666666666667,0.0588235294117647,0.05,102.4
ATC,256,0.8,0.666666666666667,0.0588235294117647,0.05,102.4
PPI_PLUS_PLUS_STYLE,64,0.856,0.128333333333333,0.0594117647058824,0.07425,126.88
PPI_PLUS_PLUS_STYLE,128,0.8695,0.065,0.0344117647058824,0.0915,126.88
PPI_PLUS_PLUS_STYLE,256,0.88575,0.045,0.0123529411764706,0.097,126.88
CMDO,64,0.8055,0.148333333333333,0.0917647058823529,0.09425,139.2
CMDO,128,0.84325,0.111666666666667,0.0708823529411765,0.07975,139.2
CMDO,256,0.86625,0.0916666666666667,0.0358823529411765,0.0895,139.2
