gate,threshold,observed,passed,category
twenty_independent_reserve_hospitals,>=20,20,1,integrity
exact_full_direct_fallback,<1e-12,0,1,integrity
covered_event_certificate_violations,=0,0,1,certification
mean_simultaneous_coverage,>=0.90,0.981166666666667,1,certification
minimum_state_simultaneous_coverage,>=0.80,0.945,1,certification
pooled_cmdo_mae_noninferiority,CMDO<=Direct,-0.00101004846578171,1,empirical_safety
worst_hospital_budget_regret,<=0.010,0.0015392997757538,1,empirical_safety
hospital_breadth,>=75%,0.7,0,empirical_safety
false_assurance_noninferiority,CMDO<=Direct+0.005,0,1,decision_safety
stable_decision_cost_reduction,>=10%,-0.00834492350486778,0,decision_efficiency
max_budget_correct_resolution_noninferiority,CMDO>=Direct,-0.00350000000000006,0,decision_efficiency
bias_guard_mechanism,Spearman<=-0.50,-0.894736842105263,1,mechanism
matched_telemetry_witness,max accuracy gap>=0.03,0.0805285089844487,1,conceptual_witness
