hospital,n,prevalence,true_accuracy,true_auc,historical_bias,atc_estimate,proxy_mean,true_state,lenient_state,strict_state,in_primary_indifference_zone,direct_mae,static_mae,atc_mae,ppi_mae,cmdo_mae,relative_gain,mean_transport_weight,direct_false_assurance_rate,cmdo_false_assurance_rate,criterion_reversal
H005,607,0.125205930807249,0.667215815485997,0.844434532659332,0.0687677131804587,0.738056013179572,0.68403971674664,-1,-1,-1,0,0.0279627115080999,0.0248219606736695,0.0708401976935756,0.0188322379907595,0.0264900791300514,0.0526641480252018,0.0757644376215503,0.0483333333333333,0.0483333333333333,0
H006,646,0.170278637770898,0.586687306501548,0.854494572591588,0.149296222164907,0.722910216718266,0.59742216956692,-1,-1,-1,0,0.0324718621001032,0.033748820899454,0.136222910216718,0.0228259022572934,0.0316268351309673,0.0260233603644567,0.0628724647175945,0,0,0
H007,1877,0.104954714970698,0.766116142781034,0.876012206913222,-0.0301326141145781,0.780500799147576,0.76563330194896,1,1,-1,0,0.029323031127908,0.0251754443525888,0.0143846563665424,0.0180227366658206,0.0277116170985504,0.0549538696162931,0.0748923888186088,0,0,1
H009,666,0.115615615615616,0.725225225225225,0.883116883116882,0.0107583034412302,0.776276276276276,0.720072085978808,1,1,-1,0,0.0304814189189189,0.0258930686259192,0.0510510510510507,0.0189145357280366,0.028133944651629,0.0770132871286028,0.0811065100857189,0,0,1
H010,1278,0.0766823161189358,0.831768388106416,0.872535454859911,-0.0957848594399608,0.805946791862285,0.836702909074004,1,1,1,0,0.0255864367338289,0.0247010294373371,0.0258215962441312,0.0162791848871078,0.0258485070696747,-0.0102425491510238,0.0480971123417209,0,0,0
H011,1806,0.128460686600221,0.704318936877076,0.886422139946546,0.0316645917893791,0.703765227021041,0.690459712165159,-1,1,-1,1,0.0340408274501661,0.0292795477220242,0.000553709856035312,0.021250819680981,0.0316650870537746,0.0697909121001665,0.0793991951401725,0.303333333333333,0.303333333333333,1
H014,562,0.0658362989323843,0.807829181494662,0.896422136422137,-0.0718456528282064,0.782918149466192,0.797412554450789,1,1,1,0,0.0248870755486358,0.0225017617461958,0.02491103202847,0.0148418859687377,0.0245504373595126,0.0135266270424325,0.0598495125129863,0,0,0
H019,3552,0.0990990990990991,0.735078828828829,0.865260120738641,0.000904699837626644,0.737612612612613,0.736062913759567,1,1,-1,0,0.0300547226914414,0.025539729038943,0.00253378378378422,0.0169465464187928,0.0278285430742859,0.0740708753166936,0.0796968777150436,0,0,1
H020,673,0.0609212481426449,0.842496285289747,0.916718122877431,-0.106512756623292,0.846953937592868,0.83710575057322,1,1,1,0,0.0237920129860079,0.0232382805790903,0.00445765230312056,0.0137460148539509,0.02425765322316,-0.0195712837508069,0.0418460228589548,0,0,0
H021,653,0.0459418070444104,0.846860643185299,0.864044943820225,-0.110877114518843,0.805513016845329,0.854402070132244,1,1,1,0,0.0229875634092649,0.0248355893105783,0.0413476263399695,0.0125835153303263,0.023917491620808,-0.0404535354611914,0.0412310555356153,0,0,0
H025,1240,0.0782258064516129,0.719354838709677,0.875972977604605,0.016628689956778,0.740322580645161,0.727564987991508,1,1,-1,1,0.0315680863575269,0.0271262203696779,0.0209677419354835,0.0161976388518191,0.0292984637023145,0.0718961114559674,0.080878797788293,0,0,1
H026,719,0.0653685674547983,0.858136300417246,0.856256332320162,-0.122152771750791,0.835883171070932,0.863609539199009,1,1,1,0,0.0228849204624478,0.0247322079405726,0.0222531293463142,0.0141999532691737,0.0236881443552061,-0.0350983912780612,0.035066466429219,0,0,0
H028,2294,0.0710549258936356,0.762423714036617,0.871931435744038,-0.0264401853701618,0.7384481255449,0.763582388867974,1,1,-1,0,0.0290786029224789,0.0248691090001858,0.0239755884917172,0.0162943764616897,0.0271866899235506,0.0650620321743786,0.0763382693781023,0,0,1
H029,565,0.031858407079646,0.787610619469027,0.872740199065611,-0.0516270908025711,0.776991150442478,0.804897118063362,1,1,1,0,0.0268821441740413,0.0231006643446039,0.0106194690265485,0.0118878225585359,0.0257483576753568,0.0421761929161643,0.0683977773740067,0,0,0
H030,514,0.0486381322957198,0.82295719844358,0.815787321063394,-0.0869736697771243,0.807392996108949,0.832268949803064,1,1,1,0,0.0224309693174449,0.0222196675678696,0.0155642023346307,0.0128533950263044,0.0225371322677219,-0.00473287394648675,0.0530206487776683,0,0,0
H031,1032,0.0358527131782946,0.779069767441861,0.807388292815429,-0.0430862387754051,0.749031007751938,0.795092942648081,1,1,1,0,0.0276465600775194,0.024194866715991,0.0300387596899227,0.0130328229963885,0.0263764344599863,0.0459415425995772,0.0713003637716708,0,0,0
