PAIR_ID,HOSPITAL_A,HOSPITAL_B,TELEMETRY_DISTANCE,TRUE_ACCURACY_A,TRUE_ACCURACY_B,TRUE_ACCURACY_GAP,ATC_ESTIMATE_A,ATC_ESTIMATE_B,ATC_ESTIMATE_GAP,ATC_GAP_UNDERESTIMATION
1,H014,H029,1.04650121608045,0.807829181494662,0.787610619469027,0.0202185620256353,0.782918149466192,0.776991150442478,0.00592699902371396,0.0142915630019214
2,H020,H026,1.37811644817647,0.842496285289747,0.858136300417246,0.0156400151274988,0.846953937592868,0.835883171070932,0.0110707665219359,0.00456924860556285
3,H010,H035,1.83375667478808,0.831768388106416,0.844827586206897,0.0130591981004803,0.805946791862285,0.80316091954023,0.00278587232205507,0.0102733257784252
4,H011,H032,1.99095088169146,0.704318936877076,0.743145743145743,0.0388268062686667,0.703765227021041,0.681096681096681,0.0226685459243601,0.0161582603443067
5,H031,H033,2.0776743220145,0.779069767441861,0.807029634734666,0.0279598672928052,0.749031007751938,0.758097863542385,0.00906685579044697,0.0188930115023582
6,H009,H019,2.23197678377855,0.725225225225225,0.735078828828829,0.00985360360360354,0.776276276276276,0.737612612612613,0.038663663663663,-0.0288100600600595
7,H007,H028,2.57688579085306,0.766116142781034,0.762423714036617,0.00369242874441633,0.780500799147576,0.7384481255449,0.0420526736026759,-0.0383602448582596
8,H025,H037,3.02425508795899,0.719354838709677,0.720450281425891,0.00109544271621376,0.740322580645161,0.789868667917448,0.049546087272287,-0.0484506445560733
9,H021,H030,3.65142736516901,0.846860643185299,0.82295719844358,0.0239034447417189,0.805513016845329,0.807392996108949,0.00187997926361994,0.022023465478099
10,H005,H006,5.29256729382127,0.667215815485997,0.586687306501548,0.0805285089844487,0.738056013179572,0.722910216718266,0.015145796461306,0.0653827125231428
