cycle,budget,target_n,true_accuracy,direct_mae,observer_mae,relative_gain,regret,mean_weight,simultaneous_coverage,covered_event_certificate_violations,maximum_fallback_residual
NHANES_2015_2016,128,5201,0.719669294366468,0.0297104973803115,0.0270113292327641,0.0908489720988667,-0.00269916814754737,0.0869954998546682,0.97,0,0
NHANES_2015_2016,256,5201,0.719669294366468,0.0223724741936647,0.0197020398559131,0.119362494940669,-0.00267043433775155,0.113700874848123,0.965,0,0
NHANES_2015_2016,512,5201,0.719669294366468,0.0159576039313353,0.013797770521348,0.13534822767133,-0.00215983340998728,0.133153401606785,0.975,0,0
NHANES_2015_2016,1024,5201,0.719669294366468,0.0113473849304821,0.00958041385680301,0.15571614821425,-0.00176697107367911,0.148227670936207,0.965,0,0
NHANES_2017_2018,128,5018,0.705460342766042,0.0345783772170187,0.0313692361377688,0.0928077410663013,-0.00320914107924997,0.0879896659268942,0.965,0,0
NHANES_2017_2018,256,5018,0.705460342766042,0.0225076443553209,0.0198369083289561,0.118659064636118,-0.00267073602636478,0.112236420747721,0.98,0,0
NHANES_2017_2018,512,5018,0.705460342766042,0.0140217365920187,0.0125113108771935,0.107720303038999,-0.00151042571482527,0.13348007128784,0.98,0,0
NHANES_2017_2018,1024,5018,0.705460342766042,0.0100745227337834,0.00887063271878266,0.119498466261202,-0.00120389001500072,0.136960438293556,0.97,0,0
NHANES_2021_2023,128,5767,0.693428125541876,0.0325739999674874,0.0298161090743875,0.0846654047968501,-0.00275789089309991,0.0871764153873167,0.975,0,0
NHANES_2021_2023,256,5767,0.693428125541876,0.0230023124566499,0.0210417315695891,0.0852340776935243,-0.00196058088706082,0.111320295839713,0.965,0,0
NHANES_2021_2023,512,5767,0.693428125541876,0.0141594687445812,0.0133647447753838,0.0561266798587745,-0.000794723969197435,0.122225706903852,0.97,0,0
NHANES_2021_2023,1024,5767,0.693428125541876,0.0113272969454439,0.0103918883196933,0.0825800391969771,-0.000935408625750556,0.123470147680736,0.94,0,0
