stage,target,budget,Lambda,mean_weight,rho_realized_w005,rho_realized_actual_meanweight,observed_adaptive_MSE_gain_pct,fixed_w005_safe_realized,actual_meanweight_fixed_safe_realized,observed_adaptive_benefit
U9A,hungary,16,0.542026053563199,0.0035243029839863,0.117890219855245,0.0309324760953304,1.08608626511431,1,1,1
U9A,hungary,32,1.24550210563085,0.0077693357593158,0.178706327326237,0.0696938358255385,2.0315049165021,1,1,1
U9A,hungary,64,2.63759174489692,0.0164337717227681,0.260058757901863,0.147825398936569,4.78024760710928,1,1,1
U9A,switzerland,16,44.2197562302179,0.0049744727321474,1.0648191880967,0.332053047799126,-2.70255296101006,0,1,0
U9A,switzerland,32,96.8664654825513,0.0084473388887095,1.57599350417241,0.640989311996651,-9.32761102922927,0,1,0
U9A,switzerland,64,314.451599859327,0.0087613381792969,2.83951783492454,1.17625225323362,-10.6112790157845,0,0,0
U9A,va_long_beach,16,6.63098843151979,0.0084956136650455,0.412341296013319,0.168188337955753,1.84578041792862,1,1,1
U9A,va_long_beach,32,15.6599457450237,0.0209436245813041,0.633669527739202,0.407091435734797,4.56007934472189,1,1,1
U9A,va_long_beach,64,35.704676298654,0.0328135653386498,0.956820004221436,0.771731984607483,2.79378052876151,1,1,1
U9B,hospital_system_B,128,11.2262787753483,0.0651411915015401,0.53651961933559,0.614781967969749,-1.89602144449319,1,1,0
U9B,hospital_system_B,256,25.6503128331201,0.0604053330338836,0.81098725579035,0.893775578751547,-9.21132143044883,1,1,0
U9B,hospital_system_B,512,46.8779842779136,0.0461494542946821,1.09635742204337,1.05225761960992,-7.82578317473751,0,0,0
U9B,hospital_system_B,1024,84.4530730208409,0.032707687081276,1.47155136192754,1.18494501456619,-15.8997920188843,0,0,0
